,Currency,time_period_start,price_open,price_high,price_low,price_close,volume_traded,trades_count
370,LTC,2015-03-12,2.0,2.076,1.9106,2.02573,633536.97287525,10961.0
371,LTC,2015-03-13,2.0554,2.06,1.961,2.0,420951.28638148,9804.0
372,LTC,2015-03-14,2.0,2.0268,1.89,1.999,230028.65285092,7125.0
373,LTC,2015-03-15,2.005,2.041,1.94,2.017,479893.50282441,8833.0
374,LTC,2015-03-16,2.018,2.07,1.983,2.035,638245.01217096,11680.0
375,LTC,2015-03-17,2.036,2.063,1.946,1.986,701723.49819401,10419.0
376,LTC,2015-03-18,1.99,1.997,1.692,1.741,1402699.00268235,19989.0
377,LTC,2015-03-19,1.724,1.86,1.6002,1.756,1526212.06491279,17998.0
378,LTC,2015-03-20,1.742,1.86,1.727,1.743,445664.64890848,8584.0
379,LTC,2015-03-21,1.766,1.774,1.71,1.743,502863.38913264,9243.0
380,LTC,2015-03-22,1.744,1.814,1.73108,1.798,539690.30130066,9354.0
381,LTC,2015-03-23,1.787,1.82,1.732,1.777,649378.94919441,9792.0
382,LTC,2015-03-24,1.773,1.8139,1.5,1.645,1085934.90836023,11701.0
383,LTC,2015-03-25,1.667,2.49,1.60113,1.661,1011229.2268744,14906.0
384,LTC,2015-03-26,1.668,1.73837,1.648,1.692,840345.29490179,10149.0
385,LTC,2015-03-27,1.7,1.71,1.643,1.678,581906.91940263,9201.0
386,LTC,2015-03-28,1.692,1.7256,1.6711,1.704,479168.47374072,8507.0
387,LTC,2015-03-29,1.707,1.72,1.6205,1.657,702684.58454118,10715.0
388,LTC,2015-03-30,1.655,1.6919,1.607,1.666,657959.93381514,9556.0
389,LTC,2015-03-31,1.674,1.6879,1.61,1.652,612603.46913368,9514.0
390,LTC,2015-04-01,1.656,1.68,1.61182,1.663,598741.86904733,9807.0
391,LTC,2015-04-02,1.646,1.719,1.6251,1.677,651403.62018535,11033.0
392,LTC,2015-04-03,1.681,1.7325,1.645,1.697,539914.18050836,10117.0
393,LTC,2015-04-04,1.697,1.706,1.63919,1.685,403617.41438029,9481.0
394,LTC,2015-04-05,1.659,1.7199,1.641,1.702,549394.96670003,10522.0
395,LTC,2015-04-06,1.68,1.72,1.627,1.688,569534.60212304,10524.0
396,LTC,2015-04-07,1.688,1.695,1.6211,1.669,441892.12915744,11167.0
397,LTC,2015-04-08,1.674,1.68,1.593,1.614,823421.56474806,12878.0
398,LTC,2015-04-09,1.609,1.6348,0.9849182,1.587,707833.24672591,15318.0
399,LTC,2015-04-10,1.589,1.6033,1.47596,1.523,848428.65880447,13602.0
400,BCHABC,2018-11-20,218.11321664,250.0,218.11321664,224.14269097,28.84872481,206.0
401,BCHABC,2018-11-21,214.82218276,247.47866165,213.39,238.13,38.19616259,328.0
402,BCHABC,2018-11-22,235.24525678,238.0,200.00200001,214.0,6.25916866,152.0
403,BCHABC,2018-11-23,216.12,216.12,190.00021199,203.59500001,23.49515459,215.0
404,BCHABC,2018-11-24,206.07027016,221.79999999,175.0,175.0,7.13496177,164.0
405,BCHABC,2018-11-25,177.94592597,188.56453329,153.0,188.50353742,20.68965694,202.0
406,BCHABC,2018-11-26,188.56392333,205.60241939,170.09000005,170.09000006,45.87641034,271.0
407,BCHABC,2018-11-27,180.30428613,193.79999998,170.54110018,182.71596787,4.38936887,55.0
408,BCHABC,2018-11-28,175.69257591,192.99999999,175.0,180.99900001,12.59254604,254.0
409,BCHABC,2018-11-29,181.09707039,187.46103001,174.0,176.75024987,10.06988185,204.0
410,BCHABC,2018-11-30,183.39999977,187.46103001,157.05656,179.99994791,5.11797353,150.0
411,BCHABC,2018-12-01,183.9999479,183.9999479,167.12488953,181.90498171,2.0274537,62.0
412,BCHABC,2018-12-02,181.90498171,181.90498171,167.30009564,178.99805061,1.81677853,43.0
413,BCHABC,2018-12-03,171.00802477,178.88455132,157.30001012,163.34323166,2.85598715,42.0
414,BCHABC,2018-12-04,163.98965313,170.10990267,153.099,157.2213473,3.25842703,71.0
415,BCHABC,2018-12-05,153.37905367,153.37905367,134.89999999,134.89999999,12.91667707,98.0
416,BCHABC,2018-12-06,138.01003999,138.01003999,105.0,105.0,14.88284795,155.0
417,BCHABC,2018-12-07,107.0523747,116.87699982,101.003,101.13249022,22.27547359,193.0
418,BCHABC,2018-12-08,103.777777,110.51721185,101.07236669,102.46334452,2.05652591,50.0
419,BCHABC,2018-12-09,102.53478013,118.33616258,102.53476014,109.54153681,1.68624809,41.0
420,BCHABC,2018-12-10,115.15909562,118.05917479,100.34864185,102.62345013,5.61270012,79.0
421,BCHABC,2018-12-11,111.79702781,111.79702781,90.19890008,100.03056199,2.52157756,85.0
422,BCHABC,2018-12-12,95.28744552,103.09,94.0167121,103.09,2.96594836,74.0
423,BCHABC,2018-12-13,100.81245644,101.61953213,96.51636036,96.51636036,0.59018693,35.0
424,BCHABC,2018-12-14,96.51636036,101.86469199,81.0000693,81.0000693,1.07212464,61.0
425,BCHABC,2018-12-15,82.82606413,86.29009177,81.0,81.0,2.5190667,32.0
426,BCHABC,2018-12-16,85.39686846,86.60243475,71.0,71.0,1.98703009,55.0
427,BCHABC,2018-12-17,78.00000001,110.71574275,77.77777777,77.77777777,46.75855247,127.0
428,BCHABC,2018-12-18,93.48796572,109.81456797,87.25564905,101.08659071,8.29916893,76.0
429,BCHABC,2018-12-19,101.61718583,156.78570637,100.524815,139.40755323,22.52377702,288.0
430,BCHABC,2018-12-20,143.0,219.00000001,131.63678022,190.14482772,62.96494131,911.0
431,BCHABC,2018-12-21,204.48251488,250.70722013,185.16020012,193.5924247,64.990358,925.0
432,BCHABC,2018-12-22,214.41184584,226.79999953,193.00003013,203.21822121,16.17671575,286.0
433,BCHABC,2018-12-23,203.2182212,219.09276053,190.36304928,203.17448807,8.09436377,193.0
434,BCHABC,2018-12-24,210.84202235,224.49999999,183.66666667,200.3622679,55.63190059,552.0
435,BCHABC,2018-12-25,186.78575394,186.78575394,156.73455012,175.08620086,21.64475373,234.0
436,BCHABC,2018-12-26,175.16817228,194.78474896,170.05253856,175.32814659,13.78633861,195.0
437,BCHABC,2018-12-27,177.03040354,180.04029524,156.0,157.96862403,8.53831326,204.0
438,BCHABC,2018-12-28,154.00000029,184.22330097,152.00000002,175.00000001,17.98200255,280.0
439,BCHABC,2018-12-29,175.1,180.82851451,166.57473747,170.00000002,8.33155074,160.0
440,BCHABC,2018-12-30,170.00000046,176.06474251,169.37171483,169.80636823,6.01633328,96.0
441,BCHABC,2018-12-31,169.75512177,175.36446301,161.000002,163.20102012,8.0690812,48.0
500,BNB,2017-10-24,50.09920635,50.09920635,50.09920635,50.09920635,0.05062549,2.0
501,BNB,2017-11-21,9.98999998,9.98999998,9.98999998,9.98999998,0.21421421,2.0
502,BNB,2017-11-29,9.98999089,9.98999089,9.98999089,9.98999089,0.02002002,1.0
503,BNB,2017-12-08,0.98999897,0.98999897,0.98999897,0.98999897,5.0,1.0
504,BNB,2017-12-10,0.69999881,0.69999881,0.69999869,0.69999869,1.80000136,2.0
505,BNB,2017-12-14,0.62777749,0.62777749,0.62777749,0.62777749,16.0,17.0
506,BNB,2017-12-15,0.6273477,0.6273477,0.6271262,0.6271262,84.19431374,5.0
507,BNB,2017-12-16,0.62712615,0.62712615,0.00150066,0.00150066,195.20524771,5.0
508,BNB,2017-12-17,0.6,2.96911,0.59999999,1.394999,576.63243719,44.0
509,BNB,2017-12-18,1.39399997,1.39399997,0.4,1.37939954,413.58792551,23.0
510,BNB,2017-12-19,0.60000001,1.73,0.6,0.6000001,3244.15463877,127.0
511,BNB,2017-12-20,1.09499999,1.2,0.15939997,0.6,261.16241753,40.0
512,BNB,2017-12-21,0.32000003,1.02491298,0.32000003,1.02491298,410.2980481,39.0
513,BNB,2017-12-22,1.024913,1.024913,0.33000002,0.9,234.49244546,38.0
514,BNB,2017-12-23,0.9,0.99761231,0.33000003,0.94,235.28100226,29.0
515,BNB,2017-12-24,0.38510993,0.91,0.38510993,0.85997698,169.09296987,20.0
516,BNB,2017-12-25,0.85997698,1.01,0.8,0.95,831.2889811,102.0
517,BNB,2017-12-26,0.99999997,2.0,0.7,1.10000001,1691.880434,30.0
518,BNB,2017-12-27,1.1,1.7,0.91891558,0.92,2199.60782636,139.0
519,BNB,2017-12-28,1.293,1.439,0.7,1.08400009,3450.05282261,161.0
520,BNB,2017-12-29,0.96400012,2.07,0.2,1.49562,5200.18434846,211.0
521,BNB,2017-12-30,1.49562,2.81,1.00001003,2.81,2553.01145148,152.0
522,BNB,2017-12-31,2.8089,4.98,1.3699994,2.2,3561.01614095,347.0
523,BNB,2018-01-01,2.3824624,2.3824624,1.4784384,1.626175,1847.41079443,155.0
524,BNB,2018-01-02,1.6269465,2.0,1.1757214,1.51000002,2149.99557612,177.0
525,BNB,2018-01-03,1.69611,3.2,1.51200003,3.0799,3941.56851383,246.0
526,BNB,2018-01-04,3.0799,3.1872,1.52000003,2.206011,2788.26574101,170.0
527,BNB,2018-01-05,2.1983998,2.44999999,1.60100003,1.90364401,4459.64019364,195.0
528,BNB,2018-01-06,2.0,2.17999997,1.84171229,1.84171229,1316.72292966,60.0
529,BNB,2018-01-07,1.8647898,2.991,1.86478979,2.98,3612.13399069,150.0
530,BNB,2018-01-08,5.89100001,5.89100001,3.114001,5.05,2001.1262489,150.0
531,BNB,2018-01-09,7.00001001,7.92,5.00205551,6.8888887,1639.48203788,150.0
532,BNB,2018-01-10,5.50000001,7.19999998,4.5,5.38,1510.98572784,197.0
533,BNB,2018-01-11,5.10000055,6.15,5.10000055,5.58,967.99283292,107.0
534,BNB,2018-01-12,7.09,8.0,6.1050051,6.38999964,710.108945,106.0
535,BNB,2018-01-13,6.10602001,7.5,5.401,5.97888879,1998.26815977,245.0
536,BNB,2018-01-14,5.97888878,7.2,5.7001212,7.2,1775.39035677,277.0
537,BNB,2018-01-15,7.20000003,9.87364405,6.81083801,8.9,3942.56230067,604.0
538,BNB,2018-01-16,8.90598011,11.0,6.1,9.98000001,5119.24722377,722.0
539,BNB,2018-01-17,11.05999999,11.7,7.5,9.3377639,2651.23925961,593.0
